Date,country,Maximum total people killed,Maximum civilians reported killed
2015-01-03,Afghanistan,18,0
2015-01-03,Afghanistan,7,0
2015-01-06,Afghanistan,0,0
2015-01-07,Afghanistan,3,0
2015-01-08,Afghanistan,6,0
2015-01-11,Afghanistan,8,0
2015-01-16,Afghanistan,3,0
2015-01-17,Afghanistan,0,0
2015-01-19,Afghanistan,0,0
2015-02-08,Afghanistan,8,0
2015-02-10,Afghanistan,2,0
2015-02-11,Afghanistan,9,0
2015-02-18,Afghanistan,8,0
2015-03-02,Afghanistan,1,1
2015-03-10,Afghanistan,6,0
2015-03-11,Afghanistan,0,0
2015-03-13,Afghanistan,0,0
2015-03-18,Afghanistan,0,0
2015-03-23,Afghanistan,13,0
2015-03-24,Afghanistan,11,0
2015-03-25,Afghanistan,0,0
2015-03-26,Afghanistan,0,0
2015-04-12,Afghanistan,3,0
2015-04-28,Afghanistan,3,0
2015-05-03,Afghanistan,12,0
2015-05-04,Afghanistan,17,0
2015-05-07,Afghanistan,7,1
2015-05-07,Afghanistan,4,0
2015-05-09,Afghanistan,13,0
2015-05-14,Afghanistan,4,0
2015-05-15,Afghanistan,41,0
2015-05-21,Afghanistan,5,0
2015-05-27,Afghanistan,5,0
2015-05-28,Afghanistan,1,0
2015-05-31,Afghanistan,3,3
2015-06-03,Afghanistan,6,0
2015-06-04,Afghanistan,1,0
2015-06-04,Afghanistan,6,1
2015-06-04,Afghanistan,11,0
2015-06-05,Afghanistan,14,14
2015-06-07,Afghanistan,1,0
2015-06-08,Afghanistan,7,5
2015-06-08,Afghanistan,3,0
2015-06-11,Afghanistan,30,0
2015-06-11,Afghanistan,2,0
2015-06-14,Afghanistan,15,5
2015-06-15,Afghanistan,2,2
2015-06-18,Afghanistan,0,0
2015-06-19,Afghanistan,8,0
2015-06-19,Afghanistan,7,0
2015-06-20,Afghanistan,9,0
2015-06-21,Afghanistan,7,0
2015-06-26,Afghanistan,6,0
2015-06-27,Afghanistan,1,0
2015-06-27,Afghanistan,5,0
2015-06-30,Afghanistan,14,0
2015-07-04,Afghanistan,12,0
2015-07-04,Afghanistan,1,0
2015-07-04,Afghanistan,0,0
2015-07-05,Afghanistan,3,0
2015-07-06,Afghanistan,12,0
2015-07-06,Afghanistan,37,0
2015-07-07,Afghanistan,49,0
2015-07-07,Afghanistan,18,0
2015-07-07,Afghanistan,25,0
2015-07-07,Afghanistan,4,0
2015-07-08,Afghanistan,52,0
2015-07-10,Afghanistan,31,0
2015-07-11,Afghanistan,3,0
2015-07-12,Afghanistan,12,0
2015-07-14,Afghanistan,28,0
2015-07-16,Afghanistan,16,0
2015-07-16,Afghanistan,6,0
2015-07-20,Afghanistan,10,0
2015-07-26,Afghanistan,6,0
2015-07-29,Afghanistan,20,0
2015-08-02,Afghanistan,4,0
2015-08-04,Afghanistan,66,0
2015-08-08,Afghanistan,10,0
2015-08-09,Afghanistan,6,0
2015-08-10,Afghanistan,3,0
2015-08-17,Afghanistan,5,0
2015-08-17,Afghanistan,3,0
2015-08-23,Afghanistan,40,0
2015-08-26,Afghanistan,4,0
2015-08-27,Afghanistan,0,0
2015-08-30,Afghanistan,0,0
2015-08-31,Afghanistan,2,2
2015-09-01,Afghanistan,0,0
2015-09-06,Afghanistan,31,0
2015-09-06,Afghanistan,0,0
2015-09-08,Afghanistan,2,0
2015-09-10,Afghanistan,15,0
2015-09-13,Afghanistan,5,0
2015-09-17,Afghanistan,5,0
2015-09-29,Afghanistan,0,0
2015-09-29,Afghanistan,0,0
2015-09-30,Afghanistan,24,0
2015-09-30,Afghanistan,0,0
2015-09-30,Afghanistan,0,0
2015-09-30,Afghanistan,3,0
2015-10-02,Afghanistan,0,0
2015-10-02,Afghanistan,0,0
2015-10-03,Afghanistan,42,42
2015-10-05,Afghanistan,0,0
2015-10-11,Afghanistan,200,0
2015-10-13,Afghanistan,6,0
2015-10-19,Afghanistan,20,0
2015-10-23,Afghanistan,6,0
2015-10-23,Afghanistan,10,0
2015-10-23,Afghanistan,3,0
2015-10-23,Afghanistan,10,0
2015-10-27,Afghanistan,12,1
2015-10-29,Afghanistan,4,0
2015-10-29,Afghanistan,3,0
2015-10-29,Afghanistan,4,0
2015-10-31,Afghanistan,2,0
2015-11-04,Afghanistan,29,0
2015-11-08,Afghanistan,3,0
2015-11-14,Afghanistan,13,0
2015-11-17,Afghanistan,8,0
2015-11-18,Afghanistan,50,0
2015-11-24,Afghanistan,2,0
2015-11-24,Afghanistan,8,0
2015-11-25,Afghanistan,16,0
2015-12-03,Afghanistan,3,0
2015-12-08,Afghanistan,11,0
2015-12-13,Afghanistan,0,0
2015-12-15,Afghanistan,9,0
2015-12-19,Afghanistan,3,0
2015-12-22,Afghanistan,3,0
2015-12-23,Afghanistan,0,0
2015-12-23,Afghanistan,3,0
2015-12-29,Afghanistan,2,0
2016-01-02,Afghanistan,5,0
2016-01-06,Afghanistan,0,0
2016-01-08,Afghanistan,20,0
2016-01-08,Afghanistan,0,0
2016-01-08,Afghanistan,0,0
2016-01-09,Afghanistan,20,0
2016-01-09,Afghanistan,10,1
2016-01-10,Afghanistan,0,0
2016-01-10,Afghanistan,0,0
2016-01-14,Afghanistan,12,0
2016-01-16,Afghanistan,17,0
2016-01-16,Afghanistan,22,0
2016-01-19,Afghanistan,5,0
2016-01-19,Afghanistan,5,0
2016-01-22,Afghanistan,3,0
2016-01-22,Afghanistan,2,0
2016-01-22,Afghanistan,3,0
2016-01-22,Afghanistan,10,0
2016-01-23,Afghanistan,3,0
2016-01-23,Afghanistan,6,0
2016-01-24,Afghanistan,13,0
2016-01-24,Afghanistan,4,0
2016-01-25,Afghanistan,5,0
2016-02-01,Afghanistan,29,0
2016-02-01,Afghanistan,19,0
2016-02-02,Afghanistan,4,0
2016-02-04,Afghanistan,15,0
2016-02-04,Afghanistan,3,0
2016-02-05,Afghanistan,16,0
2016-02-08,Afghanistan,11,0
2016-02-08,Afghanistan,15,0
2016-02-11,Afghanistan,18,0
2016-02-15,Afghanistan,15,0
2016-02-17,Afghanistan,6,0
2016-02-18,Afghanistan,6,0
2016-02-22,Afghanistan,25,0
2016-02-22,Afghanistan,0,0
2016-02-26,Afghanistan,3,0
2016-02-28,Afghanistan,9,0
2016-03-05,Afghanistan,15,0
2016-03-21,Afghanistan,8,0
2016-03-22,Afghanistan,8,0
2016-03-22,Afghanistan,5,0
2016-03-26,Afghanistan,11,0
2016-04-05,Afghanistan,6,0
2016-04-07,Afghanistan,4,0
2016-04-07,Afghanistan,3,0
2016-04-07,Afghanistan,21,21
2016-04-14,Afghanistan,0,0
2016-04-19,Afghanistan,5,0
